开始时间：2020年08月06日 13:51:57 												
传感器1	加速度X	加速度Y	加速度Z	角速度X	角速度Y	角速度Z	角度X	角度Y	角度Z	传感器2	加速度X	加速度Y
Mac:DA:3E:20:B6:30:BA传感器0	0.25	-0.33	0.72	0.18	0.18	-12.45	-11.62	0.38	71.44	相对角度姿态	-11.62	0.38
Mac:DA:3E:20:B6:30:BA传感器0	0.34	-0.19	0.65	15.81	15.81	34.73	-10.97	1.69	73.56	相对角度姿态	-10.97	1.69
Mac:DA:3E:20:B6:30:BA传感器0	0.52	-0.15	0.74	58.72	58.72	54.14	-8.66	1.03	79.53	相对角度姿态	-8.66	1.03
Mac:DA:3E:20:B6:30:BA传感器0	0.04	0.38	0.88	51.51	51.51	118.1	-1.99	4.02	88.99	相对角度姿态	-1.99	4.02
Mac:DA:3E:20:B6:30:BA传感器0	-0.74	0.59	1.1	4.52	4.52	48.4	3.52	8.2	96.58	相对角度姿态	3.52	8.2
Mac:DA:3E:20:B6:30:BA传感器0	-0.73	0.05	1.19	18.43	18.43	60.55	6.27	8.94	100.79	相对角度姿态	6.27	8.94
Mac:DA:3E:20:B6:30:BA传感器0	-0.58	0.1	1.42	4.82	4.82	23.13	9.23	6.45	104.27	相对角度姿态	9.23	6.45
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	0.14	1.02	23.38	23.38	-9.83	9.72	6.08	104.35	相对角度姿态	9.72	6.08
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	0.08	0.91	-6.9	-6.9	-14.47	8.12	5.6	102.19	相对角度姿态	8.12	5.6
Mac:DA:3E:20:B6:30:BA传感器0	-0.05	0.11	0.91	-0.37	-0.37	0.79	7.6	6.57	101.87	相对角度姿态	7.6	6.57
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.13	0.95	-2.08	-2.08	4.03	7.44	7.55	101.8	相对角度姿态	7.44	7.55
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.1	0.92	3.97	3.97	7.26	7.36	8.13	102.15	相对角度姿态	7.36	8.13
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.14	0.98	4.33	4.33	3.36	7.89	8.03	102.28	相对角度姿态	7.89	8.03
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.15	0.97	2.08	2.08	0.79	7.99	7.77	102.13	相对角度姿态	7.99	7.77
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.12	0.93	-0.92	-0.92	-1.83	7.85	7.66	101.68	相对角度姿态	7.85	7.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.97	-1.46	-1.46	-1.16	8.05	7.71	101.34	相对角度姿态	8.05	7.71
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.12	0.93	-1.4	-1.4	0.18	7.72	7.6	101.01	相对角度姿态	7.72	7.6
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.13	0.95	2.75	2.75	-1.28	7.81	7.55	100.68	相对角度姿态	7.81	7.55
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	0.13	0.97	1.46	1.46	-0.73	7.98	7.39	100.15	相对角度姿态	7.98	7.39
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.11	0.94	-3.72	-3.72	0.24	7.68	7.31	99.91	相对角度姿态	7.68	7.31
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.94	0.31	0.31	-0.24	7.81	7.43	99.73	相对角度姿态	7.81	7.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.14	0.95	2.69	2.69	1.04	7.82	7.47	99.54	相对角度姿态	7.82	7.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.13	0.96	2.69	2.69	2.26	8.06	7.54	99.47	相对角度姿态	8.06	7.54
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.96	-1.65	-1.65	-0.37	8.19	7.55	99.35	相对角度姿态	8.19	7.55
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.13	0.95	1.95	1.95	-0.12	8.16	7.67	99.14	相对角度姿态	8.16	7.67
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.13	0.96	-1.1	-1.1	-1.28	8.22	7.59	98.94	相对角度姿态	8.22	7.59
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.13	0.93	-1.04	-1.04	0.55	8.09	7.62	98.75	相对角度姿态	8.09	7.62
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.14	0.95	-0.79	-0.79	2.14	8.01	7.06	98.76	相对角度姿态	8.01	7.06
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.13	0.94	2.81	2.81	1.59	8.09	7.22	98.78	相对角度姿态	8.09	7.22
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.95	-0.43	-0.43	0.12	8.23	7.32	98.77	相对角度姿态	8.23	7.32
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.13	0.94	-0.73	-0.73	0	8.24	7.49	98.72	相对角度姿态	8.24	7.49
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.13	0.94	0.18	0.18	1.53	8.23	7.65	98.67	相对角度姿态	8.23	7.65
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.94	1.16	1.16	1.22	8.3	7.69	98.66	相对角度姿态	8.3	7.69
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.93	-1.95	-1.95	-1.46	8.34	7.73	98.5	相对角度姿态	8.34	7.73
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.14	0.94	2.93	2.93	0.06	8.44	7.66	98.31	相对角度姿态	8.44	7.66
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.96	-0.43	-0.43	1.28	8.62	7.64	98.27	相对角度姿态	8.62	7.64
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.14	0.94	0.98	0.98	-0.73	8.61	7.67	98.26	相对角度姿态	8.61	7.67
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.15	0.95	0.12	0.12	0.24	8.65	7.73	98.11	相对角度姿态	8.65	7.73
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.15	0.94	-1.22	-1.22	0.06	8.68	7.78	98.04	相对角度姿态	8.68	7.78
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.14	0.94	1.04	1.04	0.12	8.7	7.75	97.99	相对角度姿态	8.7	7.75
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.15	0.94	-0.12	-0.12	-0.55	8.85	7.79	98.03	相对角度姿态	8.85	7.79
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.14	0.93	-1.1	-1.1	-0.43	8.85	7.99	97.91	相对角度姿态	8.85	7.99
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	0.15	0.93	0.79	0.79	-0.43	8.95	7.88	97.75	相对角度姿态	8.95	7.88
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.14	0.92	10.8	10.8	-2.44	9.39	8.59	97.55	相对角度姿态	9.39	8.59
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.13	0.99	7.45	7.45	0.98	9.99	8.56	97.61	相对角度姿态	9.99	8.56
Mac:DA:3E:20:B6:30:BA传感器0	-0.22	0.23	1.26	16.6	16.6	-7.32	11.13	7.7	97.27	相对角度姿态	11.13	7.7
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.34	1.63	-5.55	-5.55	-12.27	12.97	6.4	96.37	相对角度姿态	12.97	6.4
Mac:DA:3E:20:B6:30:BA传感器0	-0.2	0.44	1.27	-63.29	-63.29	10.99	9.65	6.3	96.11	相对角度姿态	9.65	6.3
Mac:DA:3E:20:B6:30:BA传感器0	0	0.2	0.81	-95.4	-95.4	17.64	2.33	5.59	97.23	相对角度姿态	2.33	5.59
Mac:DA:3E:20:B6:30:BA传感器0	0	-0.07	0.3	-91.55	-91.55	-18.92	-6.17	8.29	96.09	相对角度姿态	-6.17	8.29
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	-0.36	0.44	-9.7	-9.7	-10.56	-13.29	10.65	94.48	相对角度姿态	-13.29	10.65
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	-0.23	0.92	14.28	14.28	-7.2	-14.32	9.51	95.19	相对角度姿态	-14.32	9.51
Mac:DA:3E:20:B6:30:BA传感器0	-0.08	-0.29	0.96	1.83	1.83	3.97	-14.36	9.16	94.89	相对角度姿态	-14.36	9.16
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	-0.22	1.01	-6.16	-6.16	-3.17	-13.72	9.11	95.39	相对角度姿态	-13.72	9.11
Mac:DA:3E:20:B6:30:BA传感器0	-0.19	-0.2	1.03	1.77	1.77	5.19	-13.35	9.03	95.6	相对角度姿态	-13.35	9.03
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	-0.2	1.02	-5.8	-5.8	4.15	-13.05	8.87	96.22	相对角度姿态	-13.05	8.87
Mac:DA:3E:20:B6:30:BA传感器0	-0.45	-0.18	0.97	0.92	0.92	-6.04	-13.37	9.11	96.3	相对角度姿态	-13.37	9.11
Mac:DA:3E:20:B6:30:BA传感器0	-0.52	-0.1	1.01	-3.85	-3.85	-8.36	-13.35	8.31	95.56	相对角度姿态	-13.35	8.31
Mac:DA:3E:20:B6:30:BA传感器0	-0.37	-0.06	0.96	-4.88	-4.88	-50.6	-13.94	5.82	94.28	相对角度姿态	-13.94	5.82
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	-0.08	0.91	-10.62	-10.62	-123.9	-15.47	7.48	85.44	相对角度姿态	-15.47	7.48
Mac:DA:3E:20:B6:30:BA传感器0	0.44	-0.24	0.93	2.56	2.56	-106.69	-16.35	4.8	74.08	相对角度姿态	-16.35	4.8
Mac:DA:3E:20:B6:30:BA传感器0	0.36	-0.2	1.17	37.96	37.96	-17.88	-12.34	-0.05	70.25	相对角度姿态	-12.34	-0.05
Mac:DA:3E:20:B6:30:BA传感器0	0.17	-0.23	1.11	-0.67	-0.67	-3.23	-11.78	-3.19	70.79	相对角度姿态	-11.78	-3.19
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	-0.21	1.07	4.21	4.21	4.88	-11.74	-3.21	72.33	相对角度姿态	-11.74	-3.21
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	-0.19	1.03	-6.04	-6.04	9.77	-12.47	-2.81	73.81	相对角度姿态	-12.47	-2.81
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	-0.3	0.9	-14.77	-14.77	-4.46	-13.27	-1.32	73.48	相对角度姿态	-13.27	-1.32
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	-0.26	0.86	11.72	11.72	7.87	-13.41	-1.63	74.06	相对角度姿态	-13.41	-1.63
Mac:DA:3E:20:B6:30:BA传感器0	0.06	-0.33	0.63	22.83	22.83	-14.47	-12.94	-0.85	74.54	相对角度姿态	-12.94	-0.85
Mac:DA:3E:20:B6:30:BA传感器0	-0.13	-0.25	0.36	-15.75	-15.75	-0.18	-13.19	3.64	73.58	相对角度姿态	-13.19	3.64
Mac:DA:3E:20:B6:30:BA传感器0	-0.02	0.01	0.68	87.89	87.89	-19.78	-12.37	-1.03	75.1	相对角度姿态	-12.37	-1.03
